Batch,Enrolment Type,Grade, School,Phone,Parent Email,Booked Time,Attendance
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Thursday, April 16, 2020",Trial,Grade 2,DPS,911100222445,s2m_test_21459@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Thursday, April 16, 2020",Trial,Grade 2,DPS,911100222446,s2m_test_21460@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Thursday, April 16, 2020",Trial,Grade 2,City Montessori school lucknow,911100222447,s2m_test_21461@tests2m.com,16-04-2020 11:15:00,Absent
"fREADom Trial - Grades 3, 4  [I] 11:15am - Thursday, April 16, 2020",Trial,Grade 4,Reliance Foundation,911100222448,s2m_test_21462@tests2m.com,16-04-2020 11:15:00,Absent
"fREADom Trial - Grades 3, 4  [I] 11:15am - Thursday, April 16, 2020",Trial,Grade 3,KRS,911100222449,s2m_test_21463@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:15am - Thursday, April 16, 2020",Trial,Grade 3,Bhagwan mahavir international school,911100222450,s2m_test_21464@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Thursday, April 16, 2020",Trial,Grade 1,Delhi Public School,911100222451,s2m_test_21465@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:15am - Thursday, April 16, 2020",Duplicate - Trial,Grade 4,Amrit vidyalaya,911100222452,s2m_test_21466@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:15am - Thursday, April 16, 2020",Trial,Grade 4,Foundation Academy Bihta Patna,911100222453,s2m_test_21467@tests2m.com,16-04-2020 11:15:00,Cancelled
"fREADom Trial - Grades 3, 4  [I] 11:15am - Thursday, April 16, 2020",Trial,Grade 3,Delhi public school electronic City,911100222445,s2m_test_21468@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:15am - Thursday, April 16, 2020",Trial,Grade 4,The Shriram Universal School,911100222454,s2m_test_21469@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:15am - Thursday, April 16, 2020",Trial,Grade 4,Bharatiya Vidhya bhavans,911100222455,s2m_test_21470@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:15am - Thursday, April 16, 2020",Trial,Grade 4,Donbosco school siliguri,911100222456,s2m_test_21471@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:15am - Thursday, April 16, 2020",Duplicate - Trial,Grade 4,SJR public school,911100222457,s2m_test_21472@tests2m.com,16-04-2020 11:15:00,
"fREADom Trial - Grades 3, 4  [I] 11:15am - Thursday, April 16, 2020",Trial,Grade 4,The Schram Academy,911100222458,s2m_test_21473@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:15am - Thursday, April 16, 2020",Trial,Grade 4,Gitanjali Devshala,911100222459,s2m_test_21474@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial - Grades 1,2 [II] 11:15am - Thursday, April 16, 2020",Trial,Grade 1,Delhi public school,911100222460,s2m_test_21475@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial - Grades 1,2 [II] 11:15am - Thursday, April 16, 2020",Trial,Grade 1,SJR public school,911100222461,s2m_test_21476@tests2m.com,16-04-2020 11:15:00,Absent
"fREADom Trial - Grades 1,2 [II] 11:15am - Thursday, April 16, 2020",Trial,Grade 1,Sri Sri Academy,911100222462,s2m_test_21477@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial - Grades 1,2 [II] 11:15am - Thursday, April 16, 2020",Trial,Grade 1,Angel Global School,911100222463,s2m_test_21478@tests2m.com,16-04-2020 11:15:00,Absent
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Thursday, April 16, 2020",Trial,Grade 2,Jain public school,911100222464,s2m_test_21479@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Thursday, April 16, 2020",Trial,Grade 1,Sanskrit hi the school,911100222465,s2m_test_21480@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial - Grades 1,2 [II] 11:15am - Thursday, April 16, 2020",Duplicate - Trial,Grade 2,DPS Howrah,911100222466,s2m_test_21481@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial - Grades 1,2 [II] 11:15am - Thursday, April 16, 2020",Duplicate - Trial,Grade 2,Chinmaya Vidyalaya Senior Secondary school,911100222467,s2m_test_21482@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial - Grades 1,2 [II] 11:15am - Thursday, April 16, 2020",Trial,Grade 2,Delhi public school secunderabad,911100222468,s2m_test_21483@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Thursday, April 16, 2020",Trial,Grade 2,dps,911100222469,s2m_test_21484@tests2m.com,16-04-2020 11:15:00,Cancelled
"fREADom Trial - Grades 3, 4  [II] 11:15am - Thursday, April 16, 2020",Trial,Grade 3,Army public school ambala cantt,911100222470,s2m_test_21485@tests2m.com,16-04-2020 11:15:00,absent
"fREADom Trial - Grades 3, 4  [II] 11:15am - Thursday, April 16, 2020",Duplicate - Trial,Grade 3,DPSH,911100222471,s2m_test_21486@tests2m.com,16-04-2020 11:15:00,present
"fREADom Trial - Grades 3, 4  [II] 11:15am - Thursday, April 16, 2020",Trial,Grade 3,Delhi Public School Ecity,911100222472,s2m_test_21487@tests2m.com,16-04-2020 11:15:00,present
"fREADom Trial - Grades 3, 4  [II] 11:15am - Thursday, April 16, 2020",Trial,Grade 4,Aps Sp Marg Lko,911100222473,s2m_test_21488@tests2m.com,16-04-2020 11:15:00,absent
"fREADom Trial - Grades 3, 4  [II] 11:15am - Thursday, April 16, 2020",Trial,Grade 4,APSDC,911100222474,s2m_test_21489@tests2m.com,16-04-2020 11:15:00,absent
"fREADom Trial - Grades 3, 4  [II] 11:15am - Thursday, April 16, 2020",Trial,Grade 4,Sri sankara senior secondary school,911100222475,s2m_test_21490@tests2m.com,16-04-2020 11:15:00,present
"fREADom Trial - Grades 3, 4  [II] 11:15am - Thursday, April 16, 2020",Trial,Grade 4,Svis,911100222476,s2m_test_21491@tests2m.com,16-04-2020 11:15:00,present
"fREADom Trial - Grades 3, 4  [II] 11:15am - Thursday, April 16, 2020",Duplicate - Trial,Grade 4,Sri Sri Academy,911100222477,s2m_test_21492@tests2m.com,16-04-2020 11:15:00,present
"fREADom Trial - Grades 3, 4  [II] 11:15am - Thursday, April 16, 2020",Duplicate - Trial,Grade 4,SRM Public School,911100222478,s2m_test_21493@tests2m.com,16-04-2020 11:15:00,absent
"fREADom Trial - Grades 3, 4  [II] 11:15am - Thursday, April 16, 2020",Duplicate - Trial,Grade 4,Reliance Foundation,911100222448,s2m_test_21462@tests2m.com,16-04-2020 11:15:00,present
"fREADom Trial - Grades 1,2 [II] 11:15am - Thursday, April 16, 2020",Trial,Grade 1,DPS Hyderabad,911100222479,s2m_test_21494@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial - Grades 1,2 [II] 11:15am - Thursday, April 16, 2020",Trial,Grade 1,TGES,911100222480,s2m_test_21495@tests2m.com,16-04-2020 11:15:00,Absent
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Thursday, April 16, 2020",Trial,Grade 2,St Paul's,911100222481,s2m_test_21496@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Thursday, April 16, 2020",Trial,Grade 1,DPS,911100222482,s2m_test_21497@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Thursday, April 16, 2020",Trial,Grade 2,DPS SOUTH,911100222483,s2m_test_21498@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Thursday, April 16, 2020",Trial,Grade 2,Mahatma Cbse Madurai,911100222484,s2m_test_21499@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Thursday, April 16, 2020",Trial,Grade 1,City Montessori school,911100222485,s2m_test_21500@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Thursday, April 16, 2020",Trial,Grade 1,St peters college,911100222486,s2m_test_21501@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Thursday, April 16, 2020",Trial,Grade 1,Gitanjali devshala,911100222487,s2m_test_21502@tests2m.com,16-04-2020 16:00:00,Present
