phone,email_id,school,grade,source,Submitted At
911100221000,s2m_test_20001@tests2m.com,St.paul's school,Grade 2,lastchance,4/16/20 8:46
911100221001,s2m_test_20002@tests2m.com,K L E School haveri,Grade 4,lastchance,4/16/20 8:47
911100221002,s2m_test_20003@tests2m.com,Delhu Public School Howrah,Grade 2,lastchance,4/16/20 8:47
911100221003,s2m_test_20004@tests2m.com,Bharathi vidya bhavans,Grade 2,lastchance,4/16/20 8:48
911100221004,s2m_test_20005@tests2m.com,Army public school Delhi cantt,Grade 4,lastchance,4/16/20 8:52
911100221005,s2m_test_20006@tests2m.com,Millennium,Grade 1,lastchance,4/16/20 8:52
911100221006,s2m_test_20007@tests2m.com,St Paul's,Grade 4,lastchance,4/16/20 8:53
911100221007,s2m_test_20008@tests2m.com,Sri Sri Academy,Grade 4,lastchance,4/16/20 8:53
911100221008,s2m_test_20009@tests2m.com,Saint Paul's school,Grade 4,lastchance,4/16/20 8:55
911100221009,s2m_test_20010@tests2m.com,Shiri shiri ravishankar vidya mandir,Grade 1,lastchance,4/16/20 8:55
911100221010,s2m_test_20011@tests2m.com,KRS,Grade 1,lastchance,4/16/20 8:56
911100221011,s2m_test_20012@tests2m.com,The shri ram universal school jakh,Grade 1,lastchance,4/16/20 8:57
911100221012,s2m_test_20013@tests2m.com,The SHRI ram UNIVERSAL SCHOOL jakh,Grade 1,lastchance,4/16/20 8:57
911100221013,s2m_test_20014@tests2m.com,TGFS Kashipur,Grade 3,lastchance,4/16/20 9:03
911100221014,s2m_test_20015@tests2m.com,NCS,Grade 4,lastchance,4/16/20 9:04
911100221015,s2m_test_20016@tests2m.com,Indus Valley World School,Grade 2,lastchance,4/16/20 9:06
911100221016,s2m_test_20017@tests2m.com,Kps gamharia,Grade 2,lastchance,4/16/20 9:20
911100221017,s2m_test_20018@tests2m.com,Foundation Academy IIT Patna Bihar,Grade 4,lastchance,4/16/20 9:21
911100221018,s2m_test_20019@tests2m.com,Aakruthi  school,Grade 3,lastchance,4/16/20 9:23
911100221019,s2m_test_20020@tests2m.com,"Delhi Public School, North, Bangalore.",Grade 1,lastchance,4/16/20 9:38
911100221020,s2m_test_20021@tests2m.com,Sri SriRavisankar Vidyamandir,Grade 2,lastchance,4/16/20 9:39
911100221021,s2m_test_20022@tests2m.com,St columbas school,Grade 2,lastchance,4/16/20 9:42
911100221000,s2m_test_20001@tests2m.com,ST paul,Grade 2,lastchance,4/16/20 9:50
911100221022,s2m_test_20023@tests2m.com,Sattva,Grade 2,lastchance,4/16/20 10:07
911100221023,s2m_test_20024@tests2m.com,Kerela public school mango,Grade 4,lastchance,4/16/20 10:17
911100221023,s2m_test_20024@tests2m.com,Kerela public school,Grade 4,lastchance,4/16/20 10:23
911100221024,s2m_test_20025@tests2m.com,SBOA school and junior college,Grade 1,TEB11SMS,4/16/20 10:34
911100221025,s2m_test_20026@tests2m.com,B.D. Memorial,Grade 4,TEB11SMS,4/16/20 10:34
911100221026,s2m_test_20027@tests2m.com,S.B.O.A SCHOOL AND JUNIOR COLLEGE,Grade 3,TEB11SMS,4/16/20 10:35
911100221027,s2m_test_20028@tests2m.com,Kampala niketan,Grade 2,TEB12SMS,4/16/20 10:36
911100221028,s2m_test_20029@tests2m.com,Skps,Grade 2,TEB12SMS,4/16/20 10:36
911100221029,s2m_test_20030@tests2m.com,Brilliant national School,Grade 3,TEB11SMS,4/16/20 10:36
911100221030,s2m_test_20031@tests2m.com,Nsn memorial school,Grade 2,TEB11SMS,4/16/20 10:36
911100221031,s2m_test_20032@tests2m.com,DPS Megacity,Grade 4,TEB11SMS,4/16/20 10:36
911100221032,s2m_test_20033@tests2m.com,Kamala Niketan Montessori School,Grade 2,TEB12SMS,4/16/20 10:37
911100221033,s2m_test_20034@tests2m.com,Kamala niketan Montessori school,Grade 4,TEB12SMS,4/16/20 10:37
911100221034,s2m_test_20035@tests2m.com,Delhi school of ex,Grade 4,TEB11SMS,4/16/20 10:37
911100221035,s2m_test_20036@tests2m.com,KDAV,Grade 4,TEB12SMS,4/16/20 10:37
911100221036,s2m_test_20037@tests2m.com,Amrit Vidhayalaya,Grade 4,TEB11SMS,4/16/20 10:37
911100221037,s2m_test_20038@tests2m.com,Kamala niketan Montessori school,Grade 3,TEB12SMS,4/16/20 10:37
911100221038,s2m_test_20039@tests2m.com,Sanchana S,Grade 3,TEB11SMS,4/16/20 10:37
911100221039,s2m_test_20040@tests2m.com,The cross word school,Grade 3,TEB11SMS,4/16/20 10:38
911100221040,s2m_test_20041@tests2m.com,Kamala niketan,Grade 3,TEB11SMS,4/16/20 10:38
911100221041,s2m_test_20042@tests2m.com,BDM school,Grade 1,TEB11SMS,4/16/20 10:38
911100221042,s2m_test_20043@tests2m.com,Kothari international,Grade 1,TEB12SMS,4/16/20 10:38
