"fREADom Trial - Grades 1,2 [II] 11:15am - Thursday, April 16, 2020",Trial,Grade 1,Delhi public school,911100222460,s2m_test_21475@tests2m.com,16-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [II] 11:15am - Thursday, April 16, 2020",Duplicate - Trial,Grade 3,DPSH,911100222471,s2m_test_21486@tests2m.com,16-04-2020 11:15:00,present
"fREADom Trial - Grades 3, 4  [II] 11:15am - Thursday, April 16, 2020",Trial,Grade 3,Delhi Public School Ecity,911100222472,s2m_test_21487@tests2m.com,16-04-2020 11:15:00,present
"fREADom Trial - Grades 1,2 [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 2,Hamdard public school,911100222513,s2m_test_21527@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 2,"Don Bosco School, Siliguri",911100222526,s2m_test_21539@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Thursday, April 16, 2020",Trial,Grade 4,Gitanjali devshala,911100222530,s2m_test_21543@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial - Grades 1,2 [II] 06:15pm - Thursday, April 16, 2020",Trial,Grade 1,Focus high school,911100222536,s2m_test_21549@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [II] 06:15pm - Thursday, April 16, 2020",Trial,Grade 3,Sri Sankara senior secondary school,911100222546,s2m_test_21558@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [II] 06:15pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 1,Kamala Niketan Montessori School  (CBSE),911100222557,s2m_test_21569@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [II] 06:15pm - Thursday, April 16, 2020",Trial,Grade 4,Don bosco,911100222559,s2m_test_21571@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 06:15pm - Thursday, April 16, 2020",Trial,Grade 3,P.S.Senior Secondary School,911100222562,s2m_test_21575@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 06:15pm - Thursday, April 16, 2020",Trial,Grade 3,KLE Manjunath Nagar Hubballi,911100222563,s2m_test_21576@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Friday, April 17, 2020",Trial,Grade 2,Secunderabad public school,911100222579,s2m_test_21592@tests2m.com,17-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:15am - Friday, April 17, 2020",Duplicate - Trial,Grade 3,Sri Sankara senior secondary school,911100222546,s2m_test_21558@tests2m.com,17-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:15am - Friday, April 17, 2020",Trial,Grade 4,Shri Sathya Sai vidhyamandir ,911100222589,s2m_test_21602@tests2m.com,17-04-2020 11:15:00,Present
"fREADom Trial - Grades 1,2 [II] 04:00pm - Friday, April 17, 2020",Trial,Grade 2,Don Bosco School ,911100222526,s2m_test_21614@tests2m.com,17-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Friday, April 17, 2020",Trial,Grade 2,Bhartiya Vidya Bhavan,911100221003,s2m_test_21628@tests2m.com,17-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Friday, April 17, 2020",Trial,Grade 4,Anand Niketan Maninagar,911100221281,s2m_test_20281@tests2m.com,17-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [II] 06:15pm - Friday, April 17, 2020",Trial,Grade 3,SSRVM Bangalore south,911100221265,s2m_test_20265@tests2m.com,17-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [III] 06:15pm - Friday, April 17, 2020",Trial,Grade 2,Pollocks Intelli School,911100221176,s2m_test_20177@tests2m.com,17-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [III] 06:15pm - Friday, April 17, 2020",Trial,Grade 1,Sri Sankara Senior Secondary School,911100222623,s2m_test_21638@tests2m.com,17-04-2020 18:15:00,Absent
"fREADom Trial - Grades 3, 4  [II] 11:15am - Saturday, April 18, 2020",Trial,Grade 3,DPS MEGACITY,911100221327,s2m_test_20329@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 1,2 [II] 11:15am - Saturday, April 18, 2020",Duplicate - Trial,Grade 1,Sunaina,911100222623,s2m_test_21645@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [II] 11:15am - Saturday, April 18, 2020",Trial,Grade 4,Indus Valley World School,911100221346,s2m_test_20348@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 1,2 [II] 11:15am - Saturday, April 18, 2020",Trial,Grade 1,The Samhita Academy,911100221360,s2m_test_20363@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 2,NSN,911100221089,s2m_test_20091@tests2m.com,18-04-2020 11:15:00,
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,Sboa,911100221381,s2m_test_20384@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 3,DPS,911100221373,s2m_test_20376@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,DPS e City Bangalore,911100221411,s2m_test_20414@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 1,2 [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 2,BVBARRS,911100221413,s2m_test_20416@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 1,2 [III] 04:00pm - Saturday, April 18, 2020",Duplicate - Trial,Grade 1,"SIES PRIMARY HIGH SCHOOL MATUNGA, Mumbai",911100222665,s2m_test_21682@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 3,Suchitra Academy,911100221426,s2m_test_20430@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Saturday, April 18, 2020",Duplicate - Trial,Grade 1,NSN,911100221089,s2m_test_20091@tests2m.com,18-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [III] 06:15pm - Saturday, April 18, 2020",Trial,Grade 2,Harvest International School,911100221462,s2m_test_20466@tests2m.com,18-04-2020 18:15:00,Absent
"fREADom Trial - Grades 3, 4  [III] 06:15pm - Saturday, April 18, 2020",Trial,Grade 3,Mahatma school akkama building (CBSE),911100221434,s2m_test_20438@tests2m.com,18-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 06:15pm - Saturday, April 18, 2020",Trial,Grade 4,Greenwood High school,911100221478,s2m_test_20482@tests2m.com,18-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [II] 06:15pm - Saturday, April 18, 2020",Trial,Grade 2,Harvest International school,911100221180,s2m_test_20181@tests2m.com,18-04-2020 18:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Sunday, April 19, 2020",Duplicate - Trial,Grade 2,Harvest International School,911100221462,s2m_test_20466@tests2m.com,19-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:15am - Sunday, April 19, 2020",Duplicate - Trial,Grade 4,Greenwood High school,911100221478,s2m_test_20482@tests2m.com,19-04-2020 11:15:00,Absent
"fREADom Trial - Grades 3, 4  [II] 11:15am - Sunday, April 19, 2020",Trial,Grade 3,DPS MEGACITY,911100221656,s2m_test_20664@tests2m.com,19-04-2020 11:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Sunday, April 19, 2020",Duplicate - Trial,Grade 2,Secunderabad public school,911100222579,s2m_test_21592@tests2m.com,19-04-2020 11:15:00,Present
"fREADom Trial - Grades 1,2 [II] 11:15am - Sunday, April 19, 2020",Duplicate - Trial,Grade 2,NSN,911100221089,s2m_test_20091@tests2m.com,19-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 11:15am - Sunday, April 19, 2020",Trial,Grade 3,Sri Aurabindo International School,911100221111,s2m_test_20112@tests2m.com,19-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 11:15am - Sunday, April 19, 2020",Trial,Grade 4,Kamala Niketan Montessori School,911100221141,s2m_test_20142@tests2m.com,19-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 11:15am - Sunday, April 19, 2020",Trial,Grade 3,Sanskriti The School,911100221143,s2m_test_20144@tests2m.com,19-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 11:15am - Sunday, April 19, 2020",Trial,Grade 4,Chinmaya Vidyalaya Virugambakkam,911100221144,s2m_test_20145@tests2m.com,19-04-2020 11:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Sunday, April 19, 2020",Trial,Grade 1,Angel Global school,911100221127,s2m_test_20128@tests2m.com,19-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Sunday, April 19, 2020",Duplicate - Trial,Grade 2,Pollocks Intelli School,911100221176,s2m_test_20177@tests2m.com,19-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [III] 04:00pm - Sunday, April 19, 2020",Trial,Grade 3,SBOA School & Junior College,911100221451,s2m_test_20455@tests2m.com,19-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Sunday, April 19, 2020",Trial,Grade 4,DPS MEGACITY,911100221651,s2m_test_20658@tests2m.com,19-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Sunday, April 19, 2020",Trial,Grade 4,WOI,911100221641,s2m_test_20647@tests2m.com,19-04-2020 18:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Sunday, April 19, 2020",Trial,Grade 1,delhi public school,911100221503,s2m_test_20507@tests2m.com,19-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [III] 06:15pm - Sunday, April 19, 2020",Trial,Grade 2,Bharatiya Vidya Bhavans Atmakuri Rama Rao School,911100221579,s2m_test_20582@tests2m.com,19-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 11:45am - Monday, April 20, 2020",Trial,Grade 3,Dps,911100222713,s2m_test_21735@tests2m.com,20-04-2020 11:45:00,Present
"fREADom Trial - Grades 3, 4  [II] 11:45am - Monday, April 20, 2020",Trial,Grade 3,NSN Memorial,911100221564,s2m_test_20568@tests2m.com,20-04-2020 11:45:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:45am - Monday, April 20, 2020",Trial,Grade 3,SBOA SCHOOL & JR COLLEGE,911100221566,s2m_test_20570@tests2m.com,20-04-2020 11:45:00,Present
"fREADom Trial - Grades 3, 4 [IV]  11:45am - Monday, April 20, 2020",Trial,Grade 4,DPS,911100221165,s2m_test_20166@tests2m.com,20-04-2020 11:45:00,Present
"fREADom Trial - Grades 1,2 [II] 11:45am - Monday, April 20, 2020",Trial,Grade 2,Gowtham Model School,911100221524,s2m_test_20528@tests2m.com,20-04-2020 11:45:00,Absent
"fREADom Trial - Grades 1,2 [II] 11:45am - Monday, April 20, 2020",Trial,Grade 2,Dav girls senior secondary school,911100221727,s2m_test_20737@tests2m.com,20-04-2020 11:45:00,Present
"fREADom Trial - Grades 1,2 [II] 06:00pm - Monday, April 20, 2020",Trial,Grade 2,Vedanta Academy,911100221506,s2m_test_20510@tests2m.com,20-04-2020 18:00:00,Present
"fREADom Trial - Grades 1,2 [II] 06:00pm - Monday, April 20, 2020",Trial,Grade 1,SSRVM,911100222733,s2m_test_21752@tests2m.com,20-04-2020 18:00:00,Present
"fREADom Trial - Grades 1,2 [II] 06:00pm - Monday, April 20, 2020",Trial,Grade 2,Delhi Public School,911100221527,s2m_test_20531@tests2m.com,20-04-2020 18:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:45am - Tuesday, April 21, 2020",Trial,Grade 4,Rajmata krishna kumari,911100222734,s2m_test_21753@tests2m.com,21-04-2020 11:45:00,Present
"fREADom Trial - Grades 3, 4  [II] 11:45am - Tuesday, April 21, 2020",Trial,Grade 4,P.s.senior secondary school,911100221817,s2m_test_20829@tests2m.com,21-04-2020 11:45:00,Present
"fREADom Trial - Grades 3, 4  [II] 06:00pm - Tuesday, April 21, 2020",Trial,Grade 4,Maple tree,911100221802,s2m_test_20814@tests2m.com,21-04-2020 18:00:00,Present
"fREADom Trial - Grades 1,2 [II] 06:00pm - Tuesday, April 21, 2020",Trial,Grade 2,Kamala Niketan Montessori school,911100221730,s2m_test_20740@tests2m.com,21-04-2020 18:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 06:00pm - Tuesday, April 21, 2020",Trial,Grade 2,NA,911100222755,s2m_test_21773@tests2m.com,21-04-2020 18:00:00,Present
"fREADom Trial - Grades 3, 4  [III] 06:00pm - Wednesday, April 22, 2020",Trial,Grade 4,Sri Aurobindo international school,911100222054,s2m_test_21064@tests2m.com,22-04-2020 18:00:00,Present
"fREADom Trial - Grades 1,2 [III] 06:00pm - Wednesday, April 22, 2020",Trial,Grade 1,Delhi Public School - North,911100222033,s2m_test_21043@tests2m.com,22-04-2020 18:00:00,Present
"fREADom Trial - Grades 1,2 [II] 06:00pm - Wednesday, April 22, 2020",Trial,Grade 1,The Sri Ram Universal School,911100221948,s2m_test_20961@tests2m.com,22-04-2020 18:00:00,Present
"fREADom Trial - Grades 3, 4  [II] 06:00pm - Wednesday, April 22, 2020",Trial,Grade 4,Delhi Public School- Bangalore South,911100221895,s2m_test_21782@tests2m.com,22-04-2020 18:00:00,Present
"fREADom Trial - Grades 3, 4  [III] 06:00pm - Wednesday, April 22, 2020",Trial,Grade 4,Aholong Jessie Anar,911100221178,s2m_test_20179@tests2m.com,22-04-2020 18:00:00,Absent
"fREADom Trial - Grades 3, 4  [II] 06:00pm - Wednesday, April 22, 2020",Duplicate - Trial,Grade 4,Ps senior secondary school,911100221817,s2m_test_20829@tests2m.com,22-04-2020 18:00:00,Present
"fREADom Trial - Grades 1,2 [III] 06:00pm - Wednesday, April 22, 2020",Trial,Grade 1,Delhi public school Electronic City,911100222074,s2m_test_21083@tests2m.com,22-04-2020 18:00:00,Present
"fREADom Trial - Grades 3, 4  [II] 06:00pm - Wednesday, April 22, 2020",Trial,Grade 3,DPS,911100222080,s2m_test_21089@tests2m.com,22-04-2020 18:00:00,Present
"fREADom Trial - Grades 1,2 [III] 06:00pm - Wednesday, April 22, 2020",Trial,Grade 2,Edify  school,911100222070,s2m_test_21079@tests2m.com,22-04-2020 18:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 11:45am - Thursday, April 23, 2020",Trial,Grade 2,SAIS,911100222012,s2m_test_21022@tests2m.com,23-04-2020 11:45:00,Present
"fREADom Trial - Grades 1,2 [III] 11:45am - Thursday, April 23, 2020",Trial,Grade 1,DAV,911100221994,s2m_test_21005@tests2m.com,23-04-2020 11:45:00,Present
"fREADom Trial - Grades 3, 4  [III] 11:45am - Thursday, April 23, 2020",Trial,Grade 4,Kamala nikten,911100221554,s2m_test_20558@tests2m.com,23-04-2020 11:45:00,
"fREADom Trial - Grades 1,2 [II] 06:00pm - Thursday, April 23, 2020",Trial,Grade 1,Delhi public school,911100221839,s2m_test_20853@tests2m.com,23-04-2020 18:00:00,Present
"fREADom Trial - Grades 3, 4  [III] 06:00pm - Thursday, April 23, 2020",Trial,Grade 4,Kamala niketan,911100221947,s2m_test_20960@tests2m.com,23-04-2020 18:00:00,Present
"fREADom Trial - Grades 1,2 [III] 06:00pm - Thursday, April 23, 2020",Trial,Grade 2,PS Senior Secondary School,911100221592,s2m_test_21790@tests2m.com,23-04-2020 18:00:00,Present
"fREADom Trial - Grades 3, 4 [IV]  06:00pm - Thursday, April 23, 2020",Trial,Grade 3,DPS Megacity,911100222767,s2m_test_21791@tests2m.com,23-04-2020 18:00:00,Present 
"fREADom Trial - Grades 3, 4  [III] 06:00pm - Thursday, April 23, 2020",Duplicate - Trial,Grade 4,Aholong Jessie Anar,911100221178,s2m_test_20179@tests2m.com,23-04-2020 18:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 11:45am - Friday, April 24, 2020",Trial,Grade 2,Bhavans,911100222783,s2m_test_21807@tests2m.com,24-04-2020 11:45:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:45am - Friday, April 24, 2020",Duplicate - Trial,Grade 4,Shri Sathya sai vidhyamandir,911100222589,s2m_test_21602@tests2m.com,24-04-2020 11:45:00,Present
"fREADom Trial - Grades 1,2 [II] 06:00pm - Friday, April 24, 2020",Trial,Grade 2,Sishya omr,911100221616,s2m_test_20619@tests2m.com,24-04-2020 18:00:00,Cancelled
"fREADom Trial - Grades 1,2 [II] 06:00pm - Friday, April 24, 2020",Duplicate - Trial,Grade 2,Bhavans,911100222783,s2m_test_21807@tests2m.com,24-04-2020 18:00:00,Cancelled
"fREADom Trial - Grades 3, 4  [III] 06:00pm - Friday, April 24, 2020",Trial,Grade 4,Indus Valley World School,911100222812,s2m_test_21836@tests2m.com,24-04-2020 18:00:00,Present
"fREADom Trial - Grades 3, 4  [III] 06:00pm - Friday, April 24, 2020",Trial,Grade 4,SAIS hyd,911100222012,s2m_test_21188@tests2m.com,24-04-2020 18:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 06:00pm - Friday, April 24, 2020",Duplicate - Trial,Grade 2,"Delhi Public School, Bangalore South",911100221895,s2m_test_21782@tests2m.com,24-04-2020 18:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 11:45am - Saturday, April 25, 2020",Trial,Grade 2,Kamala niketan Montessori school (CBSE),911100222224,s2m_test_21237@tests2m.com,25-04-2020 11:45:00,Present
"fREADom Trial - Grades 3, 4  [II] 11:45am - Saturday, April 25, 2020",Trial,Grade 3,Delhi Public School,911100222236,s2m_test_21249@tests2m.com,25-04-2020 11:45:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:45am - Saturday, April 25, 2020",Trial,Grade 3,Navy Children's School,911100222821,s2m_test_21845@tests2m.com,25-04-2020 11:45:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:45am - Saturday, April 25, 2020",Trial,Grade 4,Delhi school of excellence,911100222822,s2m_test_21847@tests2m.com,25-04-2020 11:45:00,Present
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Saturday, April 25, 2020",Trial,Grade 4,Manav Rachna international school,911100222288,s2m_test_21301@tests2m.com,25-04-2020 16:00:00,Present
"fREADom Trial - Grades 1,2 [II] 11:45am - Sunday, April 26, 2020",Trial,Grade 1,NA,911100221661,s2m_test_20670@tests2m.com,26-04-2020 11:45:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:45am - Sunday, April 26, 2020",Trial,Grade 4,Bethany Institutions,911100222839,s2m_test_21864@tests2m.com,26-04-2020 11:45:00,Cancelled
